name,desc,website,location,employees,raised,angel_url,angel_id
StartX,The @Stanford Startup Accelerator ,https://angel.co/startx,Palo Alto,11-50,-,http://startx.stanford.edu,42984
Freedom Financial Network,-,https://angel.co/freedom-financial-network,San Mateo,501-1000,"$100,500,000",http://www.freedomfinancialnetwork.com/,38359
Alation,Connecting people with the data they need,https://angel.co/alation,Redwood City,11-50,"$9,000,000",http://alation.com,266966
Kairos,#1 Facial Rec company on AngelList. We love Enterprise. We love SaaS. We love Mobile. ,https://angel.co/kairos,Miami,11-50,"$2,900,000",https://www.kairos.com,81358
Mode,Data collection from physical world,https://angel.co/mode-inc,San Mateo,1-10,"$2,075,000",http://www.tinkermode.com/,512277
Zendrive,Making roads safer with data and analytics.,https://angel.co/zendrive,San Francisco,11-50,"$16,500,000",http://www.zendrive.com,161392
WayBetter,Bet on yourself!,https://angel.co/waybetter,New York City,11-50,"$4,750,000",http://www.waybetter.com,87270
FullContact,Stay fully connected. Master your contacts. Be awesome with people.,https://angel.co/fullcontact,Denver,201-500,"$50,868,000",https://www.fullcontact.com,1748
Breather,"Beautiful, private spaces to work, meet and focus.",https://angel.co/breather,Montreal,51-200,"$67,500,000",http://breather.com,161774
Formlabs,High resolution 3D printing. Designed for your desktop.,https://angel.co/formlabs,Cambridge,201-500,"$58,600,000",http://formlabs.com,25991
Base CRM,The next generation of CRM software. Made for people,https://angel.co/base-crm,Palo Alto,51-200,"$52,900,000",http://www.getbase.com,154
PowerReviews,-,https://angel.co/powerreviews,Chicago,51-200,"$71,180,000",http://www.powerreviews.com/,47309
Pure Storage,-,https://angel.co/pure-storage,Mountain View,-,"$534,856,500",http://www.purestorage.com/,68615
MixRank,Competitive Sales Intelligence,https://angel.co/mixrank,San Francisco,11-50,"$1,500,000",http://mixrank.com,26190
LendUp,We build products for the underbanked that improve financial health. ,https://angel.co/lendup,San Francisco,201-500,"$261,500,000",http://www.lendup.com,79622
ParkWhiz,Helping build the future of mobility by making parking easy for all,https://angel.co/parkwhiz,Chicago,51-200,"$36,000,000",https://www.parkwhiz.com,25241
Toymail,The mobile phone re-imagined for kids,https://angel.co/toymail-co,New York City,1-10,-,http://www.toymail.co,324450
Pana,Modern corporate travel platform,https://angel.co/pana,Denver,11-50,"$1,550,000",http://pana.com,503139
Zinc,An Ecommerce Plumbing Company (YC W14),https://angel.co/zinc-technologies,San Francisco,11-50,-,https://zinc.io,496729
Hipcamp,Discover and book original camping experiences,https://angel.co/hipcamp,San Francisco,11-50,"$2,000,000",http://www.hipcamp.com/,215222
Wepow,Video Interviewing Platform,https://angel.co/wepow,Guadalajara,11-50,"$5,400,000",http://www.wepow.com/,160
Bitfusion.io,Supercomputing for the masses,https://angel.co/bitfusion-io,Austin,1-10,-,http://bitfusion.io,659503
Trace,Video highlights and player performance automatically.,https://angel.co/traceup,Los Angeles,11-50,"$2,600,000",http://www.traceup.com/,235924
Occipital,Bringing spatial computing to everyday life,https://angel.co/occipital,Boulder,51-200,"$21,515,000",http://www.occipital.com/,49455
Klaviyo,Changing how businesses send email.,https://angel.co/klaviyo,Boston,51-200,"$1,500,000",http://www.klaviyo.com,98145
Arthena,Invest in Art Online (YC W17),https://angel.co/arthena,Palo Alto,1-10,-,https://arthena.com,377089
Looklive,Community and Marketplace for Men's fashion.,https://angel.co/looklive,San Francisco,1-10,-,https://www.looklive.com,1872365
Synack,Crowd Security Intelligence,https://angel.co/synack,Redwood City,51-200,"$34,000,000",http://www.synack.com,177433
Naytev,(YC S14) A/B testing for how content appears on social media,https://angel.co/naytev,San Francisco,1-10,"$1,300,000",http://www.naytev.com,359410
Clutter,Making the world more convenient.,https://angel.co/clutter,San Francisco,201-500,"$96,300,000",http://clutter.com,251943
The RealReal,The Leader in Luxury Designer Consignment,https://angel.co/the-realreal,-,1001-5000,"$114,300,000",http://www.therealreal.com,19755
Calm,Making the world happier and healthier through the superpower of Calm.,https://angel.co/calm,San Francisco,11-50,"$993,000",http://www.calm.com,89425
CardFlight,Accept EMV chip card payments in any mobile app,https://angel.co/cardflight,New York City,11-50,"$5,800,000",https://CardFlight.com,187767
OfferUp,buy. sell. simple.  ,https://angel.co/offerup,Bellevue,51-200,"$119,000,000",http://www.offerupnow.com,31963
Bloc,Structured online training programs in software development and design.,https://angel.co/bloc,San Francisco,51-200,"$8,000,000",https://www.bloc.io,28772
BetterUp,Personalized leadership development for everyone,https://angel.co/betterup,San Francisco,51-200,"$12,900,000",http://www.betterup.co,416859
Unity Technologies,-,https://angel.co/unity-technologies,San Francisco,1001-5000,"$17,500,000",http://unity3d.com,38445
Vida Health,-,https://angel.co/vida-health,-,-,"$18,000,000",-,2130318
Pathgather,Next-generation learning for enterprise (Techstars '14),https://angel.co/pathgather,New York City,11-50,"$3,618,000",http://www.pathgather.com,171573
