name,desc,angelListUrl,location,employees,raised,website
Lunar Wireless,Mobile without a monthly bill.,https://angel.co/lunar-labs,Detroit,1-10,"$4,400,000",https://lunarwireless.com/
IfOnly,-,https://angel.co/ifonly,San Francisco,-,"$25,300,000",http://www.ifonly.com
Cleanly,Laundry & Dry Cleaning Delivered ,https://angel.co/cleanly,New York City,11-50,"$7,300,000",http://www.cleanly.com
Updater,We help Americans save time and sanity when moving.,https://angel.co/updater,New York City,51-200,"$57,500,000",https://www.updater.com
Truly,Make Calling Your Competitive Advantage,https://angel.co/trulywireless,San Francisco,11-50,-,https://truly.co
Goldbely,Marketplace for Artisan & Specialty Food ,https://angel.co/goldbely,New York City,11-50,"$13,000,000",https://www.goldbely.com
Tule,Crop water use sensors: helping farmers optimize yield and quality,https://angel.co/tule,-,1-10,-,https://www.tuletechnologies.com
Feather (YC S17),Modern-day furniture rentals for people on the move,https://angel.co/feather,New York City,11-50,"$3,500,000",http://rentfeather.com
Mason,"Build, deploy, and scale connected mobile products. ",https://angel.co/masonamerica,Detroit,1-10,-,http://www.bymason.com
Plaid,Infrastructure and API's to power FinTech,https://angel.co/plaid,San Francisco,51-200,"$59,300,000",https://plaid.com
HealthTap,-,https://angel.co/healthtap,Palo Alto,51-200,"$38,250,000",http://www.healthtap.com
Unsplash,Photography for everyone.,https://angel.co/unsplash,Montreal,11-50,-,http://unsplash.com
FaithStreet,Outreach and giving platform for congregations,https://angel.co/faithstreet,New York City,11-50,"$1,100,000",http://www.faithstreet.com
Wonderschool,Early Childhood Education Community,https://angel.co/wonderschool,San Francisco,1-10,"$4,100,000",http://www.wonderschool.com
Hive.co,Helping brands send more relevant email (YC S14),https://angel.co/hive,Kitchener,1-10,-,http://www.hive.co
CloudApp,Work at the speed of sight.,https://angel.co/cloudapp,San Francisco,11-50,"$2,000,000",http://getcloudapp.com
Leap Motion,Reach into virtual reality with your bare hands,https://angel.co/leap-motion,San Francisco,51-200,"$124,050,000",http://www.leapmotion.com
Yup.com,Making personalized learning more accessible for students globally.,https://angel.co/yuptechnologies,San Francisco,11-50,"$11,500,000",https://www.yup.com
Spring,Creating the world's best mobile shopping experience.,https://angel.co/spring-3,New York City,51-200,"$32,500,000",https://www.shopspring.com/
Tradesy,Cash in on your closet,https://angel.co/tradesy,Santa Monica,51-200,"$74,500,000",http://www.tradesy.com
Truebill,Effortless Subscription Management,https://angel.co/truebill,San Francisco,1-10,"$1,900,000",http://www.truebill.com
Recombine,Genetic Testing. Simplified.,https://angel.co/recombine,Livingston,11-50,"$3,275,000",http://recombine.com
